time,H,R,E,F,A
2019/5/6 9:31,0.0,0.0,1.0,0.0,0.8059999999999999
2019/5/6 9:35,0.0,0.0,1.0,0.0,0.812
2019/5/6 9:36,0.0,0.0,1.0,0.0,0.81
2019/5/6 9:39,0.0,0.0,1.0,0.0,1.5959999999999999
2019/5/6 9:40,0.0,0.0,1.0,0.0,1.208
2019/5/6 9:41,0.0,0.0,1.0,0.0,0.972
2019/5/6 9:42,0.0,0.0,1.0,0.0,0.919
2019/5/6 9:43,0.0,0.0,1.0,0.0,1.121
2019/5/6 9:44,0.0,0.0,1.0,0.0,1.151
2019/5/6 9:45,0.0,0.0,1.0,0.0,1.626
2019/5/6 10:00,0.0,0.0,0.0,1.0,0.818
2019/5/6 10:01,0.0,0.0,0.0,1.0,0.848
2019/5/6 10:02,0.0,0.0,0.0,1.0,0.997
2019/5/6 10:03,0.0,0.0,0.0,1.0,1.161
2019/5/6 10:04,1.0,1.0,0.0,1.0,1.4140000000000001
2019/5/6 10:07,0.0,0.0,1.0,0.0,0.919
2019/5/6 10:08,0.0,0.0,1.0,0.0,1.0390000000000001
2019/5/6 10:09,0.0,0.0,1.0,0.0,1.03
2019/5/6 10:10,0.0,0.0,1.0,0.0,0.851
2019/5/6 10:11,0.0,0.0,1.0,0.0,0.9470000000000001
2019/5/6 10:14,0.0,0.0,1.0,0.0,0.905
2019/5/6 10:17,0.0,0.0,1.0,0.0,0.8270000000000001
2019/5/6 10:18,0.0,0.0,1.0,0.0,0.8690000000000001
2019/5/6 10:23,0.0,0.0,1.0,0.0,0.976
2019/5/6 10:25,0.0,0.0,1.0,0.0,0.935
2019/5/6 10:26,0.0,0.0,1.0,0.0,0.97
2019/5/6 10:27,0.0,0.0,1.0,0.0,0.9179999999999999
2019/5/6 10:28,0.0,0.0,1.0,0.0,0.846
2019/5/6 10:29,0.0,0.0,1.0,0.0,0.9590000000000001
2019/5/6 10:30,0.0,0.0,1.0,0.0,0.9
2019/5/6 10:31,9.0,9.0,1.0,0.0,0.978
2019/5/6 10:32,0.0,0.0,1.0,0.0,0.9620000000000001
2019/5/6 10:33,0.0,0.0,1.0,0.0,0.985
2019/5/6 10:34,0.0,0.0,1.0,0.0,0.993
2019/5/6 10:35,0.0,0.0,1.0,0.0,1.238
2019/5/6 10:36,0.0,0.0,1.0,0.0,3.5060000000000002
2019/5/6 10:41,0.0,0.0,1.0,0.0,2.575
2019/5/6 10:42,0.0,0.0,1.0,0.0,2.045
2019/5/6 10:43,0.0,0.0,1.0,0.0,1.3840000000000001
2019/5/6 10:44,1.0,1.0,1.0,0.0,1.4880000000000002
2019/5/6 10:45,0.0,0.0,1.0,0.0,1.236
2019/5/6 10:46,0.0,0.0,1.0,0.0,1.181
2019/5/6 10:47,0.0,0.0,1.0,0.0,1.119
2019/5/6 10:48,0.0,0.0,1.0,0.0,0.971
2019/5/6 10:49,0.0,0.0,1.0,0.0,0.997
2019/5/6 10:50,0.0,0.0,1.0,0.0,0.8009999999999999
2019/5/6 10:56,0.0,0.0,1.0,0.0,0.853
2019/5/6 10:57,0.0,0.0,1.0,0.0,0.899
2019/5/6 10:58,0.0,0.0,1.0,0.0,1.016
2019/5/6 10:59,0.0,0.0,1.0,0.0,1.01
2019/5/6 11:00,0.0,0.0,1.0,0.0,0.922
2019/5/6 11:02,0.0,0.0,0.0,1.0,2.833
2019/5/6 11:03,0.0,0.0,0.0,1.0,1.265
2019/5/6 11:04,0.0,0.0,0.0,1.0,1.178
2019/5/6 11:05,0.0,0.0,0.0,1.0,1.107
2019/5/6 11:06,9.0,9.0,0.0,1.0,1.0270000000000001
2019/5/6 11:10,0.0,0.0,1.0,0.0,1.208
2019/5/6 11:11,0.0,0.0,1.0,0.0,1.0
2019/5/6 11:13,0.0,0.0,0.0,1.0,5.245
2019/5/6 11:14,0.0,0.0,0.0,1.0,1.324
2019/5/6 11:15,0.0,0.0,0.0,1.0,1.157
2019/5/6 11:16,0.0,0.0,0.0,1.0,1.258
2019/5/6 11:17,0.0,0.0,0.0,1.0,0.948
2019/5/6 11:18,0.0,0.0,1.0,0.0,1.723
2019/5/6 11:21,0.0,0.0,1.0,0.0,0.8029999999999999
2019/5/6 11:22,0.0,0.0,1.0,0.0,0.813
2019/5/6 11:25,0.0,0.0,1.0,0.0,0.898
2019/5/6 13:07,0.0,0.0,1.0,0.0,1.358
2019/5/6 13:08,0.0,0.0,1.0,0.0,1.203
2019/5/6 13:09,0.0,0.0,1.0,0.0,1.153
2019/5/6 13:10,0.0,0.0,1.0,0.0,0.93
2019/5/6 13:16,0.0,0.0,1.0,0.0,0.889
2019/5/6 13:18,0.0,0.0,1.0,0.0,0.838
2019/5/6 13:29,0.0,0.0,0.0,1.0,1.3730000000000002
2019/5/6 13:30,0.0,0.0,0.0,1.0,1.215
2019/5/6 13:31,0.0,0.0,0.0,1.0,0.9059999999999999
2019/5/6 13:32,0.0,0.0,0.0,1.0,0.937
2019/5/6 13:33,0.0,0.0,0.0,1.0,0.887
2019/5/6 13:34,0.0,0.0,0.0,1.0,0.997
2019/5/6 13:35,0.0,0.0,0.0,1.0,0.992
2019/5/6 13:39,1.0,1.0,0.0,1.0,1.571
2019/5/6 13:40,0.0,0.0,0.0,1.0,1.056
2019/5/6 13:44,0.0,0.0,1.0,0.0,1.5090000000000001
2019/5/6 13:45,0.0,0.0,1.0,0.0,0.8220000000000001
2019/5/6 13:46,0.0,0.0,1.0,0.0,0.846
2019/5/6 13:53,0.0,0.0,1.0,0.0,0.82
2019/5/6 13:55,9.0,9.0,1.0,0.0,0.9470000000000001
2019/5/6 14:00,0.0,0.0,0.0,1.0,2.9330000000000003
2019/5/6 14:01,0.0,0.0,0.0,1.0,1.42
2019/5/6 14:02,0.0,0.0,1.0,0.0,2.75
2019/5/6 14:03,0.0,0.0,1.0,0.0,1.3259999999999998
2019/5/6 14:04,0.0,0.0,1.0,0.0,1.1909999999999998
2019/5/6 14:05,0.0,0.0,1.0,0.0,1.151
2019/5/6 14:06,0.0,0.0,1.0,0.0,0.8809999999999999
2019/5/6 14:07,0.0,0.0,1.0,0.0,0.866
2019/5/6 14:08,0.0,0.0,1.0,0.0,0.88
2019/5/6 14:09,0.0,0.0,1.0,0.0,0.818
2019/5/6 14:12,0.0,0.0,1.0,0.0,0.816
2019/5/6 14:16,0.0,0.0,0.0,1.0,3.344
2019/5/6 14:17,0.0,0.0,0.0,1.0,1.936
2019/5/6 14:18,0.0,0.0,0.0,1.0,1.413
2019/5/6 14:19,0.0,0.0,0.0,1.0,1.287
2019/5/6 14:20,0.0,0.0,0.0,1.0,1.224
2019/5/6 14:21,0.0,0.0,0.0,1.0,1.149
2019/5/6 14:22,0.0,0.0,0.0,1.0,1.065
2019/5/6 14:23,0.0,0.0,0.0,1.0,0.861
2019/5/6 14:27,0.0,0.0,1.0,0.0,1.3359999999999999
2019/5/6 14:28,0.0,0.0,1.0,0.0,1.37
2019/5/6 14:29,0.0,0.0,1.0,0.0,1.088
2019/5/6 14:30,0.0,0.0,1.0,0.0,0.988
2019/5/6 14:31,0.0,0.0,1.0,0.0,1.182
2019/5/6 14:32,0.0,0.0,1.0,0.0,1.3969999999999998
2019/5/6 14:33,0.0,0.0,1.0,0.0,1.347
2019/5/6 14:34,0.0,0.0,1.0,0.0,0.858
2019/5/6 14:36,0.0,0.0,0.0,1.0,1.222
2019/5/6 14:37,0.0,0.0,0.0,1.0,1.9169999999999998
2019/5/6 14:38,0.0,0.0,0.0,1.0,1.662
2019/5/6 14:39,0.0,0.0,0.0,1.0,1.242
2019/5/6 14:43,0.0,0.0,0.0,1.0,0.986
2019/5/6 14:44,0.0,0.0,1.0,0.0,2.978
2019/5/6 14:47,0.0,0.0,0.0,1.0,4.532
2019/5/6 14:48,0.0,0.0,0.0,1.0,2.69
2019/5/6 14:50,0.0,0.0,0.0,1.0,1.673
2019/5/6 14:51,1.0,1.0,0.0,1.0,1.9569999999999999
2019/5/6 14:52,1.0,1.0,0.0,1.0,2.4330000000000003
2019/5/6 14:53,1.0,1.0,0.0,1.0,3.5
2019/5/6 14:58,0.0,0.0,1.0,0.0,1.489
2019/5/6 14:59,0.0,0.0,1.0,0.0,1.686
2019/5/7 9:37,9.0,9.0,1.0,0.0,1.047
2019/5/7 9:38,0.0,0.0,1.0,0.0,0.835
2019/5/7 9:39,0.0,0.0,1.0,0.0,0.825
2019/5/7 9:44,0.0,0.0,0.0,1.0,1.319
2019/5/7 9:45,0.0,0.0,0.0,1.0,0.9359999999999999
2019/5/7 9:46,0.0,0.0,0.0,1.0,0.8859999999999999
2019/5/7 9:52,0.0,0.0,1.0,0.0,2.101
2019/5/7 9:56,0.0,0.0,0.0,1.0,1.058
2019/5/7 9:57,0.0,0.0,0.0,1.0,0.995
2019/5/7 10:17,0.0,0.0,1.0,0.0,1.847
2019/5/7 10:18,0.0,0.0,1.0,0.0,1.0859999999999999
2019/5/7 10:20,0.0,0.0,1.0,0.0,1.002
2019/5/7 10:23,0.0,0.0,0.0,1.0,0.927
2019/5/7 10:33,0.0,0.0,1.0,0.0,1.359
2019/5/7 10:34,0.0,0.0,1.0,0.0,0.831
2019/5/7 10:35,0.0,0.0,1.0,0.0,0.856
